岗位ID,岗位名称,公司,城市,一级簇号,一级簇名,二级簇名
J0135,AI 平台与业务融合架构师,厦门德捷信息科技有限公司,厦门,7,算法/人工智能（智能驾驶、传感器融合）,—
J0136,IT技术助理,厦门市顿河文化科技有限公司,厦门,0,制造业质量/检验（成本管理、抖音）,Java/后端（spring、mybatis）
J0137,架构师,厦门市民数据服务股份有限公司,厦门,0,制造业质量/检验（成本管理、抖音）,Java/后端（spring、mybatis）
J0138,Agent工程师,厦门亿联网络技术股份有限公司,厦门,0,制造业质量/检验（成本管理、抖音）,Java/后端（spring、mybatis）
J0139,app开发人员,中科飞龙(厦门)科技发展有限公司,厦门,0,制造业质量/检验（成本管理、抖音）,制造业质量/检验（图文平台、性能检测）
J0140,ERP 系统开发工程师（前端、后端）,厦门鑫万彩高分子科技有限公司,厦门,8,前端开发（web前端、erp项目）,—
J0141,全栈工程师,厦门争新科技有限公司,厦门,8,前端开发（web前端、erp项目）,—
J0142,AI智能体开发工程师,南宁邑通科技有限公司,厦门,4,后端开发（hibernate、linux开发）,—
J0143,27届嵌入式开发工程师 (MJ000143),厦门睿云联创新科技股份有限公司,厦门,5,嵌入式/硬件（rtos、32位单片机）,—
J0144,软件工程师,厦门芯泰达集成电路有限公司,厦门,4,后端开发（hibernate、linux开发）,—
J0145,AI开发工程师,厦门会展集团股份有限公司,厦门,4,后端开发（hibernate、linux开发）,—
J0146,中级全栈工程师,厦门四信,厦门,8,前端开发（web前端、erp项目）,—
J0147,Java开发工程师,厦门至恒融兴信息技术股份有限公司,厦门,4,后端开发（hibernate、linux开发）,—
J0148,Java开发/长期项目/六险一金,上海思芮信息科技有限公司,厦门,4,后端开发（hibernate、linux开发）,—
J0149,AI全栈工程师,漳州市铭创家具有限公司,厦门,8,前端开发（web前端、erp项目）,—
J0150,技术开发工程师(工具开发) (MJ004993),厦门海辰储能科技股份有限公司,厦门,4,后端开发（hibernate、linux开发）,—
J0151,软件开发工程师,春保森拉天时精密钨钢制品(厦门)有限公司,厦门,4,后端开发（hibernate、linux开发）,—
J0152,全栈开发工程师,厦门海铂物流有限公司,厦门,8,前端开发（web前端、erp项目）,—
J0153,AI开发工程师(J13279),特宝生物,厦门,4,后端开发（hibernate、linux开发）,—
J0154,软件开发推进工程师,友达光电(厦门)有限公司,厦门,0,制造业质量/检验（成本管理、抖音）,算法/AI 应用（tensorflow、vit）
J0155,初级全栈工程师,厦门精工智创科技有限公司,厦门,8,前端开发（web前端、erp项目）,—
J0156,初级全栈开发,厦门君蔚网络科技有限公司,厦门,8,前端开发（web前端、erp项目）,—
J0157,全栈工程师,厦门助赢科技有限公司,厦门,8,前端开发（web前端、erp项目）,—
J0158,web前端实习生,正航软件,厦门,8,前端开发（web前端、erp项目）,—
J0159,.Net/C#高级后端工程师,叠拓信息技术(北京)有限公司成都分公司,厦门,4,后端开发（hibernate、linux开发）,—
J0160,前端开发,厦门集方物联信息技术有限公司,厦门,8,前端开发（web前端、erp项目）,—
J0161,总行信息技术部——系统开发岗（移动开发方向）,厦门银行股份有限公司,厦门,0,制造业质量/检验（成本管理、抖音）,制造业质量/检验（图文平台、性能检测）
J0162,Golang游戏后端开发,厦门铖澜互动科技有限公司,厦门,4,后端开发（hibernate、linux开发）,—
J0163,Python开发工程师,厦门七个水果科技有限公司,厦门,4,后端开发（hibernate、linux开发）,—
J0164,嵌入式软件工程师（蜂窝模组）,厦门四五零科技有限公司,厦门,5,嵌入式/硬件（rtos、32位单片机）,—
J0165,数据开发,长亮科技,厦门,0,制造业质量/检验（成本管理、抖音）,Java/后端（spring、mybatis）
J0166,.NET开发工程师（应届生）,厦门一维天地信息技术有限公司,厦门,4,后端开发（hibernate、linux开发）,—
J0167,javaScript运营顾问,厦门富企来网络科技有限公司,厦门,4,后端开发（hibernate、linux开发）,—
J0168,Java开发工程师,厦门至恒融兴信息技术股份有限公司,厦门,4,后端开发（hibernate、linux开发）,—
J0169,C++后台开发工程师,厦门睿云联创新科技股份有限公司,厦门,4,后端开发（hibernate、linux开发）,—
J0170,java开发(泛微 合同开发工程师),软通动力信息技术(集团)股份有限公司,厦门,4,后端开发（hibernate、linux开发）,—
J0171,全栈开发工程师（AI 业务方向）,厦门北翱算法信息科技有限公司,厦门,7,算法/人工智能（智能驾驶、传感器融合）,—
J0172,软件开发工程师,厦门三优光电股份有限公司,厦门,4,后端开发（hibernate、linux开发）,—
J0173,软件实施工程师,福建伯取自动化设备有限公司,厦门,1,运维/云与网络（分布式电站、空调工程）,—
J0174,Golang开发工程师,厦门比特恐龙科技有限公司,厦门,4,后端开发（hibernate、linux开发）,—
J0175,全栈工程师 Full-Stack Engineer（偏前端）,陶朗分选技术(厦门)有限公司,厦门,8,前端开发（web前端、erp项目）,—
J0176,Java开发工程师,厦门兆丰时代科技有限公司,厦门,4,后端开发（hibernate、linux开发）,—
J0177,系统工程师,宫崎科技(厦门)有限公司,厦门,0,制造业质量/检验（成本管理、抖音）,Java/后端（spring、mybatis）
J0178,计算机软件开发工程师,源水能(厦门)投资有限公司,厦门,4,后端开发（hibernate、linux开发）,—
J0179,全栈实习生,厦门智融合科技有限公司,厦门,8,前端开发（web前端、erp项目）,—
J0180,BMS软件测试工程师,厦门新能安科技有限公司,厦门,3,软件测试（信号测试、安全测试）,—
J0181,前端（急招2人/线上面试/福州办公哦）,拓保软件,厦门,8,前端开发（web前端、erp项目）,—
J0182,java开发工程师（深圳办公）,软通动力信息技术(集团)股份有限公司,厦门,4,后端开发（hibernate、linux开发）,—
J0183,Java开发工程师（数据平台）,厦门争新科技有限公司,厦门,4,后端开发（hibernate、linux开发）,—
