简历ID,配对数,Top10重合度,Spearman相关,模型NDCG@10,规则NDCG@10,模型MAE
R038,150,0.667,0.995,0.0,0.0,0.951
R039,237,0.538,0.989,1.0,1.0,0.655
R040,2223,0.818,0.985,1.0,0.9364,0.62
R041,150,1.0,0.984,0.0,0.0,0.551
R042,744,0.818,0.989,1.0,1.0,0.99
R043,150,1.0,0.996,1.0,1.0,0.679
R044,150,1.0,0.992,1.0,1.0,0.726
R045,367,1.0,0.997,1.0,1.0,0.699
R046,385,0.667,0.994,0.9306,1.0,0.798
R047,150,0.538,0.997,1.0,1.0,0.777
R048,150,0.818,0.994,0.0,0.0,0.767
R049,150,1.0,0.997,0.9306,0.9216,0.834
R050,249,0.818,0.991,0.0,0.0,0.803
R051,150,0.667,0.996,0.5,0.4307,0.794
R052,249,0.818,0.996,1.0,1.0,0.634
R053,150,1.0,0.996,1.0,1.0,0.726
R054,150,0.818,0.998,1.0,1.0,0.926
R055,150,0.818,0.995,1.0,1.0,0.618
R056,150,0.818,0.998,0.9337,0.9306,0.695
R057,1319,0.818,0.995,1.0,1.0,0.872
R058,1023,0.667,0.993,0.839,0.9266,0.708
R059,1023,0.667,0.99,1.0,0.9364,0.672
R060,150,1.0,0.997,0.0,0.0,0.846
R061,150,1.0,0.936,0.0,0.0,0.812
R062,150,1.0,0.998,1.0,1.0,0.521
R063,487,0.818,0.995,1.0,0.9364,0.644
R064,249,0.333,0.998,1.0,1.0,0.753
R065,367,0.538,0.985,1.0,1.0,0.924
R066,150,0.667,0.976,0.0,0.0,0.679
R067,150,0.667,0.951,0.0,0.0,0.664
R068,150,0.818,0.97,1.0,1.0,0.819
R069,150,0.818,0.997,0.9766,0.9848,0.73
R070,1323,0.667,0.977,1.0,1.0,0.787
R071,487,0.333,0.997,0.9306,0.9306,0.86
R072,150,0.818,0.995,0.0,0.0,0.952
R073,150,0.667,0.995,0.9325,0.9469,0.582
R074,744,1.0,0.997,1.0,1.0,0.774
R075,150,0.818,0.996,1.0,1.0,0.835
R076,150,1.0,0.993,1.0,1.0,0.907
R077,249,0.25,0.994,1.0,1.0,0.827
R078,150,1.0,0.993,1.0,1.0,0.763
R079,150,1.0,0.995,1.0,1.0,0.885
R080,150,0.667,0.996,1.0,1.0,0.633
R081,150,0.818,0.996,0.9931,1.0,0.651
R082,150,0.818,0.943,0.0,0.0,0.65
R083,150,1.0,0.997,1.0,1.0,0.592
R084,150,0.818,0.996,0.6309,0.6309,0.915
R085,150,0.667,0.998,1.0,1.0,0.822
R086,249,0.538,0.997,0.0,0.5,0.865
R087,150,0.818,0.996,0.8643,0.8701,0.751
R088,288,1.0,0.993,0.0,0.0,0.762
R089,237,0.333,0.994,1.0,1.0,0.884
R090,150,1.0,0.963,0.9197,0.9197,0.63
R091,150,0.667,0.962,0.0,0.0,0.814
R092,150,0.667,0.985,0.0,0.0,0.782
R093,288,0.538,0.993,0.7654,0.7654,0.738
R094,150,0.667,0.99,0.0,0.0,0.56
