口径,任务,实验,模型,特征,重要性
按简历,T2分类,②全特征+噪声标签,XGBoost,岗位经验不限,0.00328
按简历,T2分类,②全特征+噪声标签,XGBoost,岗位经验缺失,0.09182
按简历,T2分类,②全特征+噪声标签,XGBoost,简历学历序数,0.02287
按简历,T2分类,②全特征+噪声标签,XGBoost,岗位学历要求序数,0.0253
按简历,T2分类,②全特征+噪声标签,XGBoost,距离km,0.04935
按简历,T2分类,②全特征+噪声标签,XGBoost,是否同城,0.08177
按简历,T2分类,②全特征+噪声标签,XGBoost,是否同省,0.01089
按简历,T2分类,②全特征+噪声标签,XGBoost,岗位城市岗位数,0.00278
按简历,T2分类,②全特征+噪声标签,XGBoost,岗位城市简历数,0.00268
按简历,T2分类,②全特征+噪声标签,XGBoost,简历期望薪资下限,0.00945
按简历,T2分类,②全特征+噪声标签,XGBoost,期望薪资面议,0.02327
按简历,T2分类,②全特征+噪声标签,XGBoost,岗位薪资下限,0.00258
按简历,T2分类,②全特征+噪声标签,XGBoost,岗位薪资上限,0.00367
按简历,T2分类,②全特征+噪声标签,XGBoost,薪资上限与期望下限比,0.01412
按简历,T2分类,②全特征+噪声标签,XGBoost,技术认证数,0.00582
按简历,T2分类,②全特征+噪声标签,XGBoost,通用证书数,0.00344
按简历,T2分类,②全特征+噪声标签,XGBoost,技术认证方向命中数,0.0164
按简历,T2分类,②全特征+噪声标签,XGBoost,岗位大类,0.00256
按简历,T2分类,②全特征+噪声标签,XGBoost,期望岗位大类,0.00284
按简历,T2分类,②全特征+噪声标签,XGBoost,岗位大类一致,0.00321
按简历,T2分类,②全特征+噪声标签,XGBoost,今日回复数,0.00222
按简历,T2分类,②全特征+噪声标签,XGBoost,是否在线,0.00207
按简历,T2分类,②全特征+噪声标签,XGBoost,同公司岗位数,0.00226
按简历,T1回归,③仅文本相似度特征,随机森林,岗位名称与期望岗位相似度,0.23046
按简历,T1回归,③仅文本相似度特征,随机森林,描述与简历文本相似度,0.36195
按简历,T1回归,③仅文本相似度特征,随机森林,描述与技能特长相似度,0.40759
按简历,T1回归,③仅文本相似度特征,XGBoost,岗位名称与期望岗位相似度,0.07295
按简历,T1回归,③仅文本相似度特征,XGBoost,描述与简历文本相似度,0.3559
按简历,T1回归,③仅文本相似度特征,XGBoost,描述与技能特长相似度,0.57114
按简历,T2分类,③仅文本相似度特征,随机森林,岗位名称与期望岗位相似度,0.29023
按简历,T2分类,③仅文本相似度特征,随机森林,描述与简历文本相似度,0.39247
按简历,T2分类,③仅文本相似度特征,随机森林,描述与技能特长相似度,0.3173
按简历,T2分类,③仅文本相似度特征,XGBoost,岗位名称与期望岗位相似度,0.1676
按简历,T2分类,③仅文本相似度特征,XGBoost,描述与简历文本相似度,0.35053
按简历,T2分类,③仅文本相似度特征,XGBoost,描述与技能特长相似度,0.48187
按岗位,T1回归,①全特征+纯净标签,随机森林,简历技能数,0.00029
按岗位,T1回归,①全特征+纯净标签,随机森林,岗位技能要求数,0.00749
按岗位,T1回归,①全特征+纯净标签,随机森林,技能命中数,0.0798
按岗位,T1回归,①全特征+纯净标签,随机森林,技能精确命中数,0.00011
按岗位,T1回归,①全特征+纯净标签,随机森林,岗位技能标签数,0.00018
按岗位,T1回归,①全特征+纯净标签,随机森林,岗位名称与期望岗位相似度,0.00037
按岗位,T1回归,①全特征+纯净标签,随机森林,描述与简历文本相似度,0.00055
按岗位,T1回归,①全特征+纯净标签,随机森林,描述与技能特长相似度,0.00175
按岗位,T1回归,①全特征+纯净标签,随机森林,专业命中岗位描述,0.01375
按岗位,T1回归,①全特征+纯净标签,随机森林,简历工作年限,0.40002
按岗位,T1回归,①全特征+纯净标签,随机森林,是否应届,0.0024
按岗位,T1回归,①全特征+纯净标签,随机森林,岗位经验下限,0.08445
按岗位,T1回归,①全特征+纯净标签,随机森林,岗位经验上限,0.0779
按岗位,T1回归,①全特征+纯净标签,随机森林,岗位经验不限,1e-05
按岗位,T1回归,①全特征+纯净标签,随机森林,岗位经验缺失,0.04023
按岗位,T1回归,①全特征+纯净标签,随机森林,简历学历序数,0.02779
按岗位,T1回归,①全特征+纯净标签,随机森林,岗位学历要求序数,0.03671
按岗位,T1回归,①全特征+纯净标签,随机森林,距离km,0.1893
按岗位,T1回归,①全特征+纯净标签,随机森林,是否同城,0.00057
按岗位,T1回归,①全特征+纯净标签,随机森林,是否同省,4e-05
按岗位,T1回归,①全特征+纯净标签,随机森林,岗位城市岗位数,0.00029
按岗位,T1回归,①全特征+纯净标签,随机森林,岗位城市简历数,0.00019
按岗位,T1回归,①全特征+纯净标签,随机森林,简历期望薪资下限,0.00373
按岗位,T1回归,①全特征+纯净标签,随机森林,期望薪资面议,0.00133
按岗位,T1回归,①全特征+纯净标签,随机森林,岗位薪资下限,0.00048
按岗位,T1回归,①全特征+纯净标签,随机森林,岗位薪资上限,0.00087
按岗位,T1回归,①全特征+纯净标签,随机森林,薪资上限与期望下限比,0.02423
按岗位,T1回归,①全特征+纯净标签,随机森林,技术认证数,0.00129
按岗位,T1回归,①全特征+纯净标签,随机森林,通用证书数,0.00016
按岗位,T1回归,①全特征+纯净标签,随机森林,技术认证方向命中数,0.00278
按岗位,T1回归,①全特征+纯净标签,随机森林,岗位大类,0.00016
按岗位,T1回归,①全特征+纯净标签,随机森林,期望岗位大类,0.00026
按岗位,T1回归,①全特征+纯净标签,随机森林,岗位大类一致,6e-05
按岗位,T1回归,①全特征+纯净标签,随机森林,今日回复数,0.00018
按岗位,T1回归,①全特征+纯净标签,随机森林,是否在线,4e-05
按岗位,T1回归,①全特征+纯净标签,随机森林,同公司岗位数,0.00027
按岗位,T1回归,①全特征+纯净标签,XGBoost,简历技能数,0.01076
按岗位,T1回归,①全特征+纯净标签,XGBoost,岗位技能要求数,0.00337
按岗位,T1回归,①全特征+纯净标签,XGBoost,技能命中数,0.02401
按岗位,T1回归,①全特征+纯净标签,XGBoost,技能精确命中数,0.00081
按岗位,T1回归,①全特征+纯净标签,XGBoost,岗位技能标签数,0.00051
按岗位,T1回归,①全特征+纯净标签,XGBoost,岗位名称与期望岗位相似度,7e-05
按岗位,T1回归,①全特征+纯净标签,XGBoost,描述与简历文本相似度,7e-05
按岗位,T1回归,①全特征+纯净标签,XGBoost,描述与技能特长相似度,0.01187
按岗位,T1回归,①全特征+纯净标签,XGBoost,专业命中岗位描述,0.01942
按岗位,T1回归,①全特征+纯净标签,XGBoost,简历工作年限,0.1086
按岗位,T1回归,①全特征+纯净标签,XGBoost,是否应届,0.18117
按岗位,T1回归,①全特征+纯净标签,XGBoost,岗位经验下限,0.0448
按岗位,T1回归,①全特征+纯净标签,XGBoost,岗位经验上限,0.04307
按岗位,T1回归,①全特征+纯净标签,XGBoost,岗位经验不限,0.00041
按岗位,T1回归,①全特征+纯净标签,XGBoost,岗位经验缺失,0.07733
按岗位,T1回归,①全特征+纯净标签,XGBoost,简历学历序数,0.02962
按岗位,T1回归,①全特征+纯净标签,XGBoost,岗位学历要求序数,0.02001
按岗位,T1回归,①全特征+纯净标签,XGBoost,距离km,0.12058
按岗位,T1回归,①全特征+纯净标签,XGBoost,是否同城,0.22957
按岗位,T1回归,①全特征+纯净标签,XGBoost,是否同省,0.02664
按岗位,T1回归,①全特征+纯净标签,XGBoost,岗位城市岗位数,0.00015
按岗位,T1回归,①全特征+纯净标签,XGBoost,岗位城市简历数,0.00011
按岗位,T1回归,①全特征+纯净标签,XGBoost,简历期望薪资下限,0.0079
按岗位,T1回归,①全特征+纯净标签,XGBoost,期望薪资面议,0.00642
按岗位,T1回归,①全特征+纯净标签,XGBoost,岗位薪资下限,0.00068
按岗位,T1回归,①全特征+纯净标签,XGBoost,岗位薪资上限,0.00177
