被剔除的词,出现岗位数,剔除原因
PCBA质量管理体系,1,行业/企业/平台等非技能标签
电子塑料配件,1,行业/企业/平台等非技能标签
半导体行业质量管理,1,行业/企业/平台等非技能标签
电气设备运维,1,行业/企业/平台等非技能标签
食品类目运营,1,行业/企业/平台等非技能标签
薪酬体系优化,1,行业/企业/平台等非技能标签
物流咨询回复,1,行业/企业/平台等非技能标签
医药行业采购,1,行业/企业/平台等非技能标签
培训体系搭建,1,行业/企业/平台等非技能标签
员工旅游,1,福利待遇类
银行开发,1,行业/企业/平台等非技能标签
类银行软件项目,1,行业/企业/平台等非技能标签
金融行业,1,行业/企业/平台等非技能标签
双休工作制,1,福利待遇类
物流数据分析,1,行业/企业/平台等非技能标签
年假,1,福利待遇类
橡胶/塑料品控,1,行业/企业/平台等非技能标签
适航体系,1,行业/企业/平台等非技能标签
电子行业,1,行业/企业/平台等非技能标签
定期团建,1,福利待遇类
定期免费体检,1,福利待遇类
全勤奖金,1,福利待遇类
物流运控,1,行业/企业/平台等非技能标签
物流质控,1,行业/企业/平台等非技能标签
传统节日福利,1,福利待遇类
节日活动,1,福利待遇类
供应商体系搭建,1,行业/企业/平台等非技能标签
制造业管理经验,1,行业/企业/平台等非技能标签
有五险,1,福利待遇类
服装订单管理,1,行业/企业/平台等非技能标签
健康保险,1,福利待遇类
汽配制造业背景,1,行业/企业/平台等非技能标签
汽车零部件行业,1,行业/企业/平台等非技能标签
8小时双休,1,福利待遇类
仓储自动化设备,1,行业/企业/平台等非技能标签
医疗行业,1,行业/企业/平台等非技能标签
保险康养顾问,1,福利待遇类
LED照明行业,1,行业/企业/平台等非技能标签
自动化行业,1,行业/企业/平台等非技能标签
储能/锂电行业,1,行业/企业/平台等非技能标签
电力电气行业质量管理体系,1,行业/企业/平台等非技能标签
大型消费电子制造业质量管理,1,行业/企业/平台等非技能标签
大型消费电子制造业,1,行业/企业/平台等非技能标签
纺织产品质量管控,1,行业/企业/平台等非技能标签
3C行业品质管理,1,行业/企业/平台等非技能标签
纺织品检测,1,行业/企业/平台等非技能标签
生鲜农产品批发/零售/贸易,1,行业/企业/平台等非技能标签
纺织生产工艺管理,1,行业/企业/平台等非技能标签
化工仓库经验,1,行业/企业/平台等非技能标签
雷达设备制造,1,行业/企业/平台等非技能标签
精益物流,1,行业/企业/平台等非技能标签
年度绩效奖金,1,福利待遇类
橡胶材料,1,行业/企业/平台等非技能标签
塑料粒子,1,行业/企业/平台等非技能标签
ISO9000体系,1,行业/企业/平台等非技能标签
物流网络规划,1,行业/企业/平台等非技能标签
轴承行业,1,行业/企业/平台等非技能标签
塑料材料,1,行业/企业/平台等非技能标签
化工工程师,1,行业/企业/平台等非技能标签
物流仓储,1,行业/企业/平台等非技能标签
质量体系搭建优化,1,行业/企业/平台等非技能标签
工程改性塑料,1,行业/企业/平台等非技能标签
食品软包装品质管理,1,行业/企业/平台等非技能标签
电梯钣金配件制造,1,行业/企业/平台等非技能标签
服装,1,行业/企业/平台等非技能标签
淘宝,1,行业/企业/平台等非技能标签
B2B行业推广,1,行业/企业/平台等非技能标签
电气设备维护,1,行业/企业/平台等非技能标签
电子半导体,1,行业/企业/平台等非技能标签
医疗设备推广,1,行业/企业/平台等非技能标签
